x,y,z,TgF
-0.0859,0.3728,0.9325,1.008
-0.0845,0.375,0.931,1.007
-0.0872,0.375,0.9305,1.007
-0.0862,0.3777,0.9286,1.006
-0.0855,0.3767,0.9295,1.007
-0.0867,0.377,0.9288,1.006
-0.0891,0.377,0.9298,1.007
-0.0889,0.3785,0.9286,1.007
-0.0872,0.3772,0.9281,1.006
-0.0899,0.3772,0.9293,1.007
-0.0918,0.3782,0.9281,1.006
-0.0933,0.3797,0.9269,1.006
-0.0923,0.3777,0.9264,1.005
-0.093,0.3811,0.9254,1.005
-0.0916,0.3807,0.9259,1.005
-0.0918,0.3802,0.9259,1.005
-0.0925,0.3809,0.9256,1.005
-0.0899,0.378,0.9298,1.008
-0.0894,0.378,0.9303,1.008
-0.0894,0.3775,0.9293,1.007
-0.0923,0.375,0.9281,1.005
-0.0894,0.3772,0.93,1.008
-0.0928,0.3792,0.9298,1.008
-0.0921,0.3777,0.9337,1.011
-0.094,0.3775,0.9391,1.016
-0.093,0.3746,0.94,1.016
-0.0933,0.376,0.9422,1.019
-0.0923,0.3765,0.94,1.017
-0.0886,0.3765,0.9393,1.016
-0.0889,0.3777,0.9354,1.013
-0.0896,0.378,0.931,1.009
-0.0903,0.3765,0.9276,1.005
-0.0894,0.3758,0.9264,1.004
-0.0899,0.3792,0.9283,1.007
-0.0911,0.378,0.9281,1.006
-0.0916,0.3792,0.9283,1.007
-0.094,0.3789,0.9298,1.008
-0.095,0.3794,0.9305,1.009
-0.0945,0.3763,0.9325,1.01
-0.0942,0.3763,0.9327,1.01
-0.0947,0.3782,0.9352,1.013
-0.0935,0.3777,0.9374,1.015
-0.0928,0.378,0.9383,1.016
-0.0928,0.3804,0.9374,1.016
-0.0925,0.3797,0.9391,1.017
-0.0942,0.3831,0.9398,1.019
-0.0928,0.385,0.9408,1.021
-0.0928,0.3843,0.9398,1.02
-0.0964,0.3855,0.941,1.021
-0.0942,0.3829,0.9408,1.02
-0.0957,0.3807,0.9383,1.017
-0.096,0.3797,0.9386,1.017
-0.0969,0.3782,0.9395,1.017
-0.0989,0.3758,0.9361,1.014
-0.0962,0.3753,0.9334,1.011
-0.0913,0.3787,0.9354,1.013
-0.0874,0.3767,0.9369,1.014
-0.0828,0.3753,0.9378,1.014
-0.0823,0.3746,0.9371,1.013
-0.0796,0.3716,0.9366,1.011
-0.0798,0.3689,0.9369,1.01
-0.0794,0.3694,0.9342,1.008
-0.0808,0.3684,0.9376,1.011
-0.084,0.3677,0.9364,1.009
-0.0855,0.3675,0.9378,1.011
-0.084,0.368,0.933,1.006
-0.0837,0.3692,0.9354,1.009
-0.0852,0.3692,0.9317,1.006
-0.085,0.3702,0.9298,1.004
-0.0864,0.3697,0.9308,1.005
-0.0877,0.3699,0.9305,1.005
-0.0879,0.3684,0.9315,1.006
-0.0906,0.3706,0.9303,1.005
-0.0911,0.3711,0.9281,1.004
-0.0925,0.3716,0.93,1.006
-0.093,0.3702,0.933,1.008
-0.0945,0.3706,0.9364,1.011
-0.094,0.3684,0.9405,1.014
-0.0935,0.3721,0.9454,1.02
-0.0942,0.3726,0.9479,1.023
-0.0942,0.3709,0.9498,1.024
-0.0942,0.3755,0.9486,1.025
-0.0955,0.3758,0.9469,1.023
-0.0964,0.3738,0.9471,1.023
-0.0982,0.3746,0.9454,1.022
-0.0996,0.3746,0.9457,1.022
-0.0984,0.3741,0.9464,1.022
-0.0964,0.3726,0.9454,1.021
-0.095,0.3719,0.9447,1.02
-0.0999,0.3731,0.9437,1.02
-0.0974,0.3746,0.9415,1.018
-0.0957,0.3709,0.9381,1.013
-0.0938,0.3702,0.9371,1.012
-0.0933,0.3706,0.9317,1.007
-0.093,0.3706,0.9308,1.006
-0.0935,0.3699,0.9276,1.003
-0.0918,0.3704,0.9281,1.003
-0.0918,0.3709,0.9273,1.003
-0.0916,0.3716,0.9259,1.002
-0.0916,0.3702,0.9244,1
-0.0918,0.3706,0.9256,1.001
-0.0874,0.367,0.9237,0.998
-0.0852,0.3614,0.9215,0.993
-0.0852,0.3589,0.9205,0.992
-0.0845,0.3606,0.9195,0.991
-0.0825,0.3594,0.9215,0.993
-0.0745,0.365,0.9459,1.017
-0.0464,0.3951,1.1173,1.186
-0.0664,0.3858,1.0531,1.123
-0.0825,0.3672,1.0104,1.078
-0.0881,0.3543,0.9698,1.036
-0.0818,0.3435,0.9547,1.018
-0.0706,0.3382,0.9325,0.994
-0.0608,0.336,0.9261,0.987
-0.0569,0.3382,0.92,0.982
-0.0557,0.3387,0.9188,0.981
-0.0593,0.3338,0.9417,1.001
-0.072,0.3384,0.9637,1.024
-0.0837,0.3474,0.9457,1.011
-0.0896,0.3467,0.9435,1.009
-0.085,0.3496,0.9513,1.017
-0.0762,0.3594,0.9435,1.012
-0.0764,0.3687,0.9303,1.004
-0.0852,0.3684,0.9207,0.995
-0.1006,0.3614,0.9059,0.98
-0.1094,0.3636,0.9029,0.979
-0.1152,0.3655,0.909,0.987
-0.1167,0.3662,0.9137,0.991
-0.1133,0.3643,0.9227,0.998
-0.1096,0.3645,0.9256,1.001
-0.1113,0.3684,0.9342,1.01
-0.1138,0.3633,0.9425,1.016
-0.1216,0.3579,0.9466,1.019
-0.1343,0.3655,0.9479,1.025
-0.1453,0.3765,0.9532,1.035
-0.1487,0.3904,0.964,1.051
-0.1414,0.3948,0.9791,1.065
-0.1318,0.3885,0.9894,1.071
-0.1179,0.3785,0.994,1.07
-0.1106,0.3687,0.9911,1.063
-0.1069,0.3645,0.9857,1.056
-0.1084,0.3623,0.9806,1.051
-0.115,0.3633,0.9791,1.051
-0.1257,0.3645,0.9772,1.05
-0.1316,0.366,0.9769,1.051
-0.1343,0.3621,0.9798,1.053
-0.1345,0.3599,0.9791,1.052
-0.1358,0.3589,0.9837,1.056
-0.135,0.3579,0.9884,1.06
-0.134,0.3619,0.9847,1.058
-0.1365,0.3684,0.9835,1.059
-0.137,0.3743,0.9779,1.056
-0.1406,0.3767,0.971,1.051
-0.1421,0.3811,0.9627,1.045
-0.1421,0.3804,0.9593,1.042
-0.1414,0.3816,0.9557,1.039
-0.1436,0.3789,0.9535,1.036
-0.1416,0.3782,0.9522,1.034
-0.1416,0.3797,0.9505,1.033
-0.1445,0.3804,0.9488,1.032
-0.1423,0.3811,0.9491,1.033
-0.1411,0.3821,0.9435,1.028
-0.1419,0.3821,0.9449,1.029
-0.1406,0.3833,0.942,1.027
-0.1411,0.3824,0.9417,1.026
-0.1409,0.3841,0.9381,1.023
-0.1411,0.3838,0.9366,1.022
-0.1404,0.3855,0.9359,1.022
-0.1384,0.3868,0.9344,1.021
-0.1382,0.3858,0.933,1.019
-0.1372,0.387,0.9322,1.019
-0.1367,0.3902,0.932,1.02
-0.1384,0.3885,0.932,1.019
-0.136,0.3894,0.9347,1.022
-0.136,0.3892,0.9349,1.022
-0.134,0.3882,0.9378,1.024
-0.134,0.3887,0.9386,1.025
-0.1331,0.3894,0.9366,1.023
-0.1318,0.3897,0.9369,1.023
-0.1343,0.3887,0.9393,1.025
-0.1336,0.3897,0.9403,1.027
-0.1311,0.3875,0.9359,1.021
-0.1333,0.3887,0.9359,1.022
-0.1328,0.3872,0.9347,1.02
-0.1311,0.3882,0.9337,1.02
-0.1318,0.3897,0.9327,1.019
-0.1309,0.3875,0.9349,1.02
-0.1323,0.3892,0.9347,1.021
-0.1304,0.3902,0.933,1.02
-0.1289,0.3912,0.9327,1.02
-0.1284,0.3924,0.9315,1.019
-0.1294,0.3904,0.932,1.019
-0.1323,0.3926,0.933,1.021
-0.1316,0.3929,0.9317,1.02
-0.1299,0.3921,0.9315,1.019
-0.1304,0.3919,0.9347,1.022
-0.1282,0.3926,0.9347,1.022
-0.1275,0.3924,0.9381,1.025
-0.1255,0.3938,0.9393,1.026
-0.1238,0.3909,0.9395,1.025
-0.1235,0.3909,0.94,1.026
-0.1238,0.3902,0.9425,1.028
-0.1248,0.3897,0.9461,1.031
-0.1228,0.3875,0.9466,1.03
-0.1235,0.3863,0.9508,1.034
-0.1216,0.3836,0.952,1.034
-0.1231,0.385,0.953,1.035
-0.1218,0.3821,0.9515,1.033
-0.1223,0.3838,0.9532,1.035
-0.1218,0.3819,0.9549,1.036
-0.1209,0.3829,0.9544,1.035
-0.1204,0.3821,0.9562,1.037
-0.1218,0.3811,0.9566,1.037
-0.1221,0.3826,0.9571,1.038
-0.1201,0.3824,0.9584,1.039
-0.1243,0.3824,0.9588,1.04
-0.1231,0.3848,0.9581,1.04
-0.1255,0.3855,0.9576,1.04
-0.125,0.3853,0.9559,1.038
-0.1262,0.3868,0.9581,1.041
-0.1299,0.3872,0.9552,1.039
-0.1292,0.388,0.9542,1.038
-0.1292,0.389,0.9527,1.037
-0.1306,0.3887,0.9525,1.037
-0.1311,0.3904,0.9486,1.034
-0.1311,0.3912,0.9479,1.034
-0.1299,0.3897,0.9459,1.031
-0.1292,0.3909,0.9447,1.03
-0.1282,0.3912,0.9422,1.028
-0.1265,0.3921,0.941,1.027
-0.1253,0.3941,0.941,1.028
-0.1221,0.3953,0.9398,1.027
-0.1194,0.3924,0.9403,1.026
-0.1165,0.3936,0.9361,1.022
-0.1157,0.3955,0.9366,1.023
-0.117,0.3958,0.9332,1.02
-0.1177,0.3924,0.9315,1.018
-0.1155,0.3929,0.931,1.017
-0.1145,0.3926,0.9273,1.014
-0.1143,0.3909,0.9278,1.013
-0.1121,0.3902,0.9264,1.011
-0.1079,0.3894,0.9242,1.009
-0.1101,0.3885,0.9256,1.01
-0.1104,0.3887,0.9229,1.008
-0.1099,0.3872,0.9217,1.006
-0.1116,0.3882,0.922,1.007
-0.1106,0.3875,0.9227,1.007
-0.1094,0.3868,0.9225,1.006
-0.1109,0.387,0.9193,1.004
-0.1091,0.386,0.919,1.003
-0.1089,0.386,0.919,1.003
-0.1091,0.3853,0.9178,1.001
-0.1082,0.3848,0.9193,1.002
-0.1077,0.3829,0.921,1.003
-0.1079,0.3811,0.9225,1.004
-0.1045,0.3802,0.9227,1.003
-0.1047,0.3789,0.922,1.002
-0.1033,0.3772,0.9212,1.001
-0.1016,0.3758,0.9227,1.001
-0.0991,0.3753,0.9222,1.001
-0.0996,0.3733,0.9234,1.001
-0.0955,0.3726,0.9195,0.997
-0.0935,0.3714,0.9232,0.999
-0.0916,0.3714,0.9242,1
-0.0921,0.3684,0.9234,0.998
-0.0896,0.3716,0.9222,0.998
-0.0864,0.3704,0.9256,1.001
-0.0864,0.3699,0.9225,0.998
-0.0852,0.3706,0.9227,0.998
-0.085,0.3699,0.9215,0.997
-0.0837,0.3694,0.9183,0.993
-0.0816,0.3694,0.9183,0.993
-0.0806,0.3714,0.9127,0.989
-0.0823,0.3684,0.9127,0.988
-0.0806,0.3709,0.9102,0.986
-0.0808,0.3706,0.9081,0.984
-0.0769,0.3741,0.9073,0.984
-0.0735,0.3746,0.9078,0.985
-0.0708,0.3787,0.9078,0.986
-0.0715,0.378,0.9083,0.986
-0.0693,0.3777,0.9073,0.985
-0.0686,0.3765,0.9059,0.983
-0.0679,0.3753,0.9049,0.982
-0.0637,0.3743,0.8995,0.976
-0.0603,0.3731,0.8968,0.973
-0.0569,0.3736,0.8956,0.972
-0.052,0.3733,0.8924,0.969
-0.0481,0.3743,0.8922,0.969
-0.0444,0.3736,0.89,0.966
-0.041,0.3755,0.8905,0.967
-0.0383,0.375,0.8914,0.968
-0.0359,0.3746,0.8922,0.968
-0.0344,0.3746,0.8956,0.971
-0.032,0.3724,0.8958,0.971
-0.0315,0.3721,0.8978,0.972
-0.0303,0.3702,0.8973,0.971
-0.031,0.3709,0.9,0.974
-0.0303,0.3711,0.9032,0.977
-0.0291,0.3694,0.9054,0.978
-0.0298,0.3684,0.9066,0.979
-0.0278,0.3662,0.9117,0.983
-0.031,0.3672,0.9134,0.985
-0.0315,0.3697,0.9146,0.987
-0.0295,0.3689,0.9186,0.99
-0.0288,0.3692,0.9229,0.994
-0.0298,0.3694,0.9261,0.998
-0.0278,0.3702,0.9305,1.002
-0.0266,0.3697,0.9349,1.006
-0.0278,0.3699,0.9376,1.008
-0.0266,0.3694,0.9398,1.01
-0.0215,0.3689,0.9393,1.009
-0.0212,0.3687,0.9383,1.008
-0.0188,0.3702,0.9413,1.012
-0.0161,0.3684,0.9403,1.01
-0.0159,0.3699,0.9386,1.009
-0.0154,0.3711,0.9356,1.007
-0.0139,0.3709,0.9317,1.003
-0.0144,0.3719,0.9242,0.996
-0.0139,0.3738,0.9186,0.992
-0.0117,0.3772,0.9117,0.987
-0.0093,0.3811,0.9041,0.981
-0.0056,0.3848,0.898,0.977
-0.0078,0.388,0.8905,0.971
-0.0076,0.3916,0.8839,0.967
-0.0085,0.3943,0.8756,0.96
-0.0085,0.3963,0.8656,0.952
-0.0122,0.3995,0.8585,0.947
-0.0122,0.4014,0.8507,0.941
-0.0146,0.4048,0.8431,0.935
-0.0173,0.4075,0.838,0.932
-0.0178,0.4139,0.837,0.934
-0.02,0.4195,0.8365,0.936
-0.0261,0.4263,0.839,0.941
-0.0266,0.43,0.8419,0.946
-0.0313,0.4349,0.8438,0.95
-0.0356,0.4368,0.8477,0.954
-0.0359,0.4371,0.8504,0.957
-0.0378,0.4361,0.8558,0.961
-0.0378,0.4341,0.8595,0.964
-0.0361,0.4339,0.8658,0.969
-0.0349,0.4314,0.8775,0.978
-0.0295,0.4317,0.8893,0.989
-0.0269,0.429,0.8966,0.994
-0.0247,0.4288,0.9129,1.009
-0.0249,0.4266,0.9271,1.021
-0.0242,0.4244,0.9405,1.032
-0.022,0.4207,0.9532,1.042
-0.021,0.4158,0.9664,1.052
-0.0215,0.4117,0.9774,1.061
-0.0208,0.4031,0.9867,1.066
-0.0198,0.3995,0.9981,1.075
-0.0205,0.397,1.0067,1.082
-0.0188,0.3992,1.015,1.091
-0.019,0.3975,1.0204,1.095
-0.0222,0.3936,1.0211,1.095
-0.0203,0.3914,1.0228,1.095
-0.0205,0.3907,1.0231,1.095
-0.0205,0.3938,1.0223,1.096
-0.0183,0.396,1.0174,1.092
-0.021,0.4017,1.014,1.091
-0.021,0.4017,1.0084,1.086
-0.0232,0.406,1.0013,1.081
-0.0242,0.4063,0.9938,1.074
-0.0256,0.4141,0.9886,1.072
-0.0254,0.4187,0.9798,1.066
-0.0259,0.4236,0.9757,1.064
-0.0251,0.4285,0.9693,1.06
-0.0276,0.4324,0.9613,1.054
-0.0269,0.4336,0.9554,1.05
-0.0283,0.4363,0.9439,1.04
-0.0239,0.4378,0.9383,1.036
-0.0217,0.4373,0.9334,1.031
-0.022,0.4371,0.9305,1.028
-0.0205,0.4378,0.931,1.029
-0.0183,0.4371,0.9249,1.023
-0.0154,0.4393,0.9198,1.019
-0.0125,0.439,0.9166,1.016
-0.0078,0.4424,0.9115,1.013
-0.0049,0.4427,0.9088,1.011
0.0007,0.4456,0.9078,1.011
0.0039,0.4417,0.9049,1.007
0.0063,0.4434,0.9041,1.007
0.0073,0.4424,0.9039,1.006
0.0066,0.4441,0.9044,1.008
0.0071,0.4434,0.9112,1.013
0.0063,0.4419,0.9159,1.017
0.0002,0.4395,0.9242,1.023
-0.0022,0.4407,0.9288,1.028
-0.009,0.4393,0.9405,1.038
-0.0142,0.4402,0.9466,1.044
-0.0168,0.4405,0.9569,1.054
-0.0208,0.4397,0.9645,1.06
-0.0251,0.4402,0.9723,1.068
